city, price_per_sqm_reg, price_per_sqm_avg, slope
berlin,12.9,11.3093768633,0.0775013584914
paris,35.3,33.1453543002,0.0283542290918
praha,7.8,7.86751093594,0.127570085262
roma,18.2,14.5418040023,0.0549621712043
